소분류,바코드,제품명,제조사,유통기한,소비기한-유통기한
육류,8809696560179,양고기램숄더랙 오리지날  찹스테이크 골드,(주)한용에프에스,360,180.0
두부,8809380970420,오늘물순두부,서한식품 주식회사,15,90.0
햄,8809479040508,닭가슴살 슬라이스 매콤훈제,(주)덕앤덤푸드,360,7.0
육류,8809698180092,소막창,주식회사 대건에프앤씨,360,180.0
육류,8809542600356,직화구이 닭갈비 연골,가보식품,360,180.0
김치,8809574679849,아워홈 포기김치,(주)아워홈,30,180.0
두부,8801114149089,넓은 두부면,풀무원식품(주),20,90.0
육류,8809521180053,다솔직화구이 닭날개(윙+봉) (맛있게매운맛),다솔푸드,360,180.0
육류,8809537140164,직화 제육 불고기 (간장맛),농업회사법인 주식회사 제이원푸드,360,180.0
소시지,8802266185307,메이저킹스모크비엔나,(주)오뗄 포천용정지점,30,7.0
어묵,8801242040432,삼호부산어묵사각,씨제이 씨푸드 주식회사,13,3.0
두부,8809574677586,큰 요리두부,(주)아워홈,18,90.0
소시지,8809429112620,맛있닭 닭가슴살 소시지 현미맛,(주)팜스코푸드,270,7.0
김치,8805588000426,특제육수 조선호텔 볶음김치,(주)조선호텔앤리조트김치,60,180.0
치즈,8809543810068,베따르망스트링치즈,베따르망,31,70.0
육류,8809179491570,[3분포차] 직화돼지불고기,(주)후드원,360,180.0
육류,8809773540032,땡초 간장 닭갈비,맛모아식품,15,180.0
우유,8801115114932,서울우유 그린라벨,서울우유협동조합 양주신공장,15,45.0
두부,8809800180002,콩물두부,농부두부,7,90.0
치즈,8801069410975,조조피자 2.5kg,건강한 사람들 주식회사,90,70.0
소시지,8809383600638,MB 청양고추맛그릴소시지,(주)미소담은,20,7.0
어묵,8801047529415,안심유 부산어묵 쫄깃사각,(주)동원F＆B,15,3.0
육류,8809656600495,대구돼지막창,주식회사 진심,360,180.0
햄,8809331509709,아워홈 부드럽고 연한 닭가슴살,주식회사 아워홈,36,7.0
육류,8809801660022,돼지고추장불고기,(주)세양푸드,15,180.0
육류,8809252520470,마포식양념돼지목심,(주)청담원,9,180.0
소시지,8809228683840,저지방 한돈소세지 하바네로,(주)이목원,30,7.0
육류,8809379741116,푸건쫄깃한매운양념곱창,주식회사푸건식품,365,180.0
육류,8809226822876,양념편육,거성식품,240,180.0
김치,8809294050034,포기김치 으뜸,들빛식품,730,180.0
어묵,8809008250187,맛샘어묵,주식회사디아이,15,3.0
소시지,8809629905824,부대찌개 모둠 소시지,에쓰푸드(주),60,7.0
햄,8809389820238,훈제오리 바베큐 슬라이스,영농조합법인 비엔푸드,45,7.0
육류,8809521180558,직화매운순살닭갈비,다솔푸드,360,180.0
육류,8809031029583,유기농 닭다리살꼬치,주식회사 올계 농업회사법인,7,180.0
육류,8809567800038,수육,주식회사 섬김과나눔,30,180.0
소시지,8809335380113,닭가슴살소시지 마늘,(주)허스델리,40,7.0
육류,8809734420069,양념돼지갈비(냉장),주식회사 오미장,15,180.0
육류,8809610450166,마포양념구이,(주)더비앤비푸드,360,180.0
육류,8809627300171,코코스 닭목살 주물럭,주식회사 코코푸드,360,180.0
어묵,8809232880358,야채사각바,(주)진어전가마보꼬,540,3.0
육류,8809108553492,제주흑돈 고추장불고기,(주)삼다,360,180.0
소시지,8809610650344,애터미 꽉찬 소시지 임실N치즈,(주)친한 F&B,40,7.0
소시지,8801047574651,동원 통그릴후랑크 치즈쏙쏙,(주)동원F&B,45,7.0
육류,8809693830404,한돈 양념 매콤구이,푸드올 주식회사,360,180.0
우유,8809687620271,밀크온밀크 동물복지목장 유기농 우유,행복드림영농조합법인,1,45.0
소시지,8809266649266,프리미엄특모듬소시지,(주)에스앤비푸드 농업회사법인,45,7.0
육류,8809440360758,한우설렁탕용,주식회사 엔지엠,30,180.0
소시지,8809650480529,리얼 바베큐 닭가슴살 소시지,주식회사 동천에프앤지,45,7.0
육류,8809634710048,훈제돼지막창(냉장),(주)푸드스토어,30,180.0
육류,8809269770004,양념돼지참맛구이,푸드스토아,15,180.0
베이컨,8801047573494,동원 와인담음 베이컨,(주)동원F&B,30,0.0
육류,8809605100120,해말금초벌돼지막창,(주)해말금,365,180.0
햄,8809180490784,컨츄리 돈삼겹 훈제 슬라이스,(주)덕스 농업회사법인,40,7.0
육류,8809437070547,푸아그라,프랑스구르메(주),64,180.0
두부,8809421942775,가마솥 국산콩 요리두부(찌개용),(주)아워홈,18,90.0
육류,8809606600254,제주흑돼지제육볶음,어업회사법인(주)씨그린제주,360,180.0
육류,8803103000463,버팔로봉,주식회사 상도푸드 농업회사법인,360,180.0
햄,8801492369314,훈제치킨 한마리 그대로,(주)하림,40,7.0
육류,8809777610205,백제원소양념갈비,주식회사 디딤,365,180.0
육류,8809248071573,돼지 불고기,(주)대신푸드글로벌,15,180.0
육류,8809665310248,팽이버섯말이,(주)비젼식품,365,180.0
우유,8801069121246,아인슈타인,남양유업 주식회사 천안신공장,15,45.0
육류,8809228801145,간장양념돼지불고기,주식회사 선농생활,7,180.0
육류,8809563420179,오븐구이양념닭발(무뼈),농업회사법인(주)대광,330,180.0
두부,8809598820425,참진정 더건강한 연두부,(주)참진정,15,90.0
육류,8809595760021,슬릭닭가슴살큐브오리지널,이유푸드(주),360,180.0
육류,8809722750024,양지말 양념 목살,양지말화로구이식품,2,180.0
소시지,8809539760414,담백훈제닭가슴살소시지,(주)에스앤비푸드 농업회사법인,45,7.0
육류,8809252520241,마포식양념돼지목심,(주)청담원,9,180.0
햄,8803051880872,흑마늘장충동순살족발,(주)에이스푸드,50,7.0
김치,8803847002211,파김치,(주)나래식품,90,180.0
베이컨,8809355080437,푸드담보쌈,(주)토담,45,0.0
치즈,8809450150394,임실 구워먹는 치즈,임실농부(주),60,70.0
김치,8805588000785,조선호텔 깍두기,(주)조선호텔앤리조트김치,120,180.0
육류,8809031029637,올계 유기농 간장닭날개구이,주식회사 올계 농업회사법인,7,180.0
김치,8809496700294,황진사 열무김치,농업회사법인 비에스푸드 주식회사,45,180.0
어묵,8803404002258,야채사각,(주)효성어묵,12,3.0
어묵,8801242642698,삼호어묵 프리미엄 생선살어묵 오리지널,씨제이 씨푸드 주식회사,13,3.0
육류,8809537140119,대구진불오돌뼈,농업회사법인 주식회사 제이원푸드,360,180.0
육류,8809248071665,오리 주물럭,(주)대신푸드글로벌,15,180.0
어묵,8801074260077,크래미H,한성식품,40,3.0
소시지,8809430222240,도이치 부어스트 소시지,(주)케이프라이드,360,7.0
우유,8801069412610,남양 고소한 락토프리,남양유업 주식회사 천안공장,84,45.0
햄,8809421941051,갈릭 닭가슴살,주식회사 아워홈,36,7.0
육류,8809389381197,양념돼지막창,애플푸드,240,180.0
소시지,8803712140253,주부9단 비엔나소시지,(주)농협목우촌,35,7.0
우유,8809585840009,바른 유기농 우유,농업회사법인 보령우유(주),9,45.0
어묵,8803404003224,오징어어묵,(주)효성어묵,720,3.0
육류,8801052030913,논현동포차스타일불막창,(주)숲풀림식품,365,180.0
육류,8809344630544,오향족발,(주)토자연,60,180.0
두부,8801007822921,반모두부,(주)맑은동해,18,90.0
소시지,8801052041308,청정원콰트로치즈그릴비엔나,주식회사 태림에프웰,30,7.0
어묵,8801047511649,더킹 크랩스 오리지널,(주)동원F＆B,37,3.0
치즈,8809316150483,NEW피자빙고치즈,(주)본델,90,70.0
햄,8809631081905,바로숯불바베큐치킨소금맛,성화푸드,365,7.0
소시지,8809626340048,감귤 바이스부어스트,농업회사법인 주식회사 에스엠푸드,40,7.0
육류,8809719070128,큰부자 국내산 훈제막창,(주)범어푸드,365,180.0
소시지,8809013405541,부어스첸,에쓰푸드(주),60,7.0
햄,8809013406661,프로슈토,에쓰푸드(주),360,7.0
소시지,8809430221137,이베리코소시지,(주)케이프라이드,360,7.0
육류,8809321300118,포천이동갈비,(주)윤덕,7,180.0
육류,8809472990503,인생닭 소스담은 닭가슴살 플레프리카세맛,농업회사법인 주식회사 미소가,30,180.0
육류,8809627300034,유자고추맛 닭가슴살,주식회사 코코푸드,360,180.0
소시지,8801068372137,제주 흑돼지봉,(주)에스피씨삼립 서천공장,90,7.0
육류,8809685430001,변사또닭도리탕,주식회사 지엔지,360,180.0
육류,8809619000133,염지조각정육,(주)유진,10,180.0
김치,8809505850491,0.8 프리미엄  배추김치,대원푸드 농업회사법인 주식회사,180,180.0
소시지,8801077692202,줄줄이비엔나 그릴,(주)진주햄,35,7.0
햄,8809522110080,오리혀 간식,(주)성우푸드,300,7.0
햄,8809524230069,상황버섯숙성 웰빙오리훈제,(주)자연푸드,50,7.0
어묵,8801066301566,대림선사각 605g,(주)사조대림,13,3.0
육류,8809569930023,우리농 안동찜닭,예맥푸드,7,180.0
햄,8803051880797,흑마늘 숙성 웰빙 오리훈제,(주)에이스푸드,50,7.0
어묵,8809585200339,오소떡바,(주)우리원식품,360,3.0
육류,8809411052217,한입목심양념불고기,주식회사 우보식품,15,180.0
육류,8809535940155,대구진직화불닭갈비,농업회사법인 주식회사 제이원푸드,360,180.0
두부,8801114143285,짬뽕 순두부 찌개,(주)우천식품,20,90.0
어묵,8801066201064,프리미엄꽃맛살,(주)태공식품,40,3.0
어묵,8801074256247,크래미,한성식품,40,3.0
육류,8809248071436,상건 돼지고기 두루치기,(주)대신푸드글로벌,15,180.0
